video ID,title,no of views,no of likes,no of comments
PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),29556367,150018,917
d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,57506355,1043511,43345
6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),1707261,14307,398
5PSNL1qE6VY,Avatar | Official Trailer (HD) | 20th Century FOX,12679120,80906,8931
3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5197270,22473,655
mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,1567975,5239,93
V67Ytgs6KJo,Avatar: First Movie RECAP,594293,10173,316
noVddIRzn3o,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,136179848,1082130,3098
u3_Uhq6qxhU,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,453472,3879,680
Xkw96oC3LnI,First Look at Team Avatar Movie Poster (2025),160623,16181,648
WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2252649,17586,627
Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),1810123,9359,128
N_c8vTay6-k,Avatar 2 scenepack ‘child scenes’,294357,3595,130
0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,31895142,190384,3666
QOg9LUIvaig,"AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix",2913197,49668,3610
zybXR9aEX8g,First Look at New Avatar Movie Just Leaked,261880,8875,995
SCAiHCvNKhM,Did You Notice This in AVATAR? #shorts,1797720,156504,532
kHNCaWjB-98,Zoe Saldana Performance Capture | AVATAR (2009) Before &amp; After CGI #shorts,23806493,1014327,3154
2u9ApB0sWxw,AVATAR RECAP: Everything You need to Know Before &quot;Way of Water&quot;,572165,8946,319
GlpBGP8HrGE,Avatar The Last Airbender Movie 2025 Teaser Breakdown and Easter Eggs,246441,6165,542
VjIdoK0xM5E,Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD,985519,3491,85
jbncrh_3NfM,The Final Battle (Part 3) - AVATAR (4k Movie Clip),409890,3655,175
nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,1420523,17916,513
ZM2k1UmcCXg,AVATAR Clip - &quot;Ikran&quot; (2009),28297643,162941,2200
oFErWcXJLdw,TRAINING TO BE IN THE NEXT AVATAR MOVIE,2351277,48260,1646
f5Zx8iPek5I,Avatar 3 Will Introduce The Dark Side🔥 Of Na&#39;vi…!?😮,7349705,335825,3834
cP64rRWGxzU,Avatar 3 EXCITING New Details REVEALED..,185513,5249,390
cMzwBkBdX6w,Did You Know This in AVATAR: THE WAY OF WATER? #shorts,799755,58326,255
rM8ogjwity8,Avatar: The Way of Water - How It Should Have Ended,1312609,72382,2338
Z5u4fqNIo74,Now you’re in the stars🤍 #avatar #avatar2 #avatarthewayofwater #neteyam,496759,50422,846
Cimy6T1nczw,Avatar Scenes Without CGI,16066749,120430,1647
Mvt1OWNk_Sg,The Final Battle (Part 1) - AVATAR (4k Movie Clip),381816,3917,180
HR2kbOK8i6I,The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips,9992104,77591,0
CyUXe8xAx9U,Did you spot this in AVATAR: THE WAY OF WATER,182507,20255,243
yRR1K9dmhxw,"Behind the scenes of Avatar, Zoe Saldana and Sam Worthington  #avatar #samworthington #zoesaldana",5762513,244972,938
nsO1isT60h8,Destruction of Home Tree - AVATAR (4k Movie Clip),372533,3052,510
iLmYtr5Db4w,Avatar 2 Full Movie - Hollywood Full Movie 2023 - Full Movies in English 𝐅𝐮𝐥𝐥 𝐇𝐃 1080,445055,1457,37
n76KALvTN3Q,Avatar: The Way of Water (2022) - Lo&#39;ak Rush to Save Payakan,1247830,3649,43
QohBlL3WurE,Training with the Ikran - AVATAR (4k Movie Clip),173923,2463,48
RGx8rYbRVR4,Why People Hate Avatar: A Lesson In Lazy Commentary,303645,20370,3247
IPQ5vTqqdgE,How Avatar’s VFX Became So Realistic | Movies Insider | Insider,591671,14798,432
MP8OjCq26EE,"Avatar 3, 4 &amp; 5 Is Officially Happening ⋮ Avatar Universe",2246058,285797,688
a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,27572413,683202,29183
3x0rDYAWdF4,last one for today :) #foryoupage #zbcxya #ily #avatarthewayofwater #avatar#avatar2 #edit #fyp,4092550,275116,1304
ofvrOdrO9gY,Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip),1119232,15378,813
TgT8b62FJRI,Jake Meets Neytiri - AVATAR (4k Movie Clip),241708,3173,145
P6sv0RVV27Q,Avatar The Last Airbender Trailer 2024 Netflix Breakdown and Easter Eggs,688524,9093,757
cN0kUKNBfxE,Avatar 2009 - The Final Battle - Best Fight Scenes FULL HD,3154501,27034,638
Mw192fc8LsQ,Lo&#39;ak &amp; Tsireya - The Way of Water,4423916,22826,240
xHNMEvYPdZE,Avatar: The Way of Water Extended Preview (2022) | Vudu,1017498,11259,392
